lat,lon,value
52.0483818,1.11638,"30 mph"
52.0481182,1.1167439,"30 mph"
52.0471368,1.1165699,"30 mph"
52.048469,1.114805,"30 mph"
52.0480686,1.1153268,"30 mph"
52.0479653,1.1154716,"30 mph"
52.0476715,1.1158324,"30 mph"
52.0480686,1.1153268,"30 mph"
52.047836,1.1148464,"30 mph"
52.0332865,1.1166688,"30 mph"
52.0330648,1.1161589,"30 mph"
52.0329243,1.1157769,"30 mph"
52.0332305,1.1169055,"30 mph"
52.0334787,1.11775,"30 mph"
52.0338066,1.1164775,"30 mph"
52.0332865,1.1166688,"30 mph"
52.0332216,1.1168797,"30 mph"
52.0334865,1.1176527,"30 mph"
52.0333352,1.1179176,"30 mph"
52.0332645,1.1170046,"30 mph"
52.0390423,1.1104132,"30 mph"
52.0386484,1.1103439,"30 mph"
52.0384742,1.1103353,"30 mph"
52.0383422,1.1104126,"30 mph"
52.0381996,1.1103525,"30 mph"
52.0378485,1.1096963,"30 mph"
52.0389042,1.1103757,"30 mph"
52.0404177,1.1085679,"30 mph"
52.0403576,1.1090113,"30 mph"
52.0402428,1.1095717,"30 mph"
52.0397897,1.1083257,"30 mph"
52.0396621,1.1086962,"30 mph"
52.0394438,1.1089775,"30 mph"
52.0392953,1.1093218,"30 mph"
52.0425511,1.1074879,"30 mph"
52.0428064,1.1081645,"30 mph"
52.0429716,1.1087623,"30 mph"
52.042662,1.1091101,"30 mph"
52.0425353,1.1093418,"30 mph"
52.0425934,1.1094877,"30 mph"
52.0462124,1.1068703,"30 mph"
52.0459573,1.1072312,"30 mph"
52.0438359,1.1063292,"30 mph"
52.0455924,1.1076102,"30 mph"
52.0451472,1.1077169,"30 mph"
52.0449367,1.10768,"30 mph"
52.0446077,1.1074794,"30 mph"
52.0453714,1.1077024,"30 mph"
52.0457199,1.1074865,"30 mph"
52.0447737,1.1075988,"30 mph"
52.0444156,1.1072821,"30 mph"
52.037383,1.1112577,"30 mph"
52.0377283,1.1133698,"30 mph"
52.0375207,1.1122169,"30 mph"
52.037414,1.1112437,"30 mph"
52.0377462,1.1110909,"30 mph"
52.0397547,1.1127005,"30 mph"
52.0396401,1.1118024,"30 mph"
52.0396058,1.1116538,"30 mph"
52.0393835,1.1113992,"30 mph"
52.0392189,1.111378,"30 mph"
52.0389482,1.1115137,"30 mph"
52.0385122,1.1116594,"30 mph"
52.0408689,1.1101625,"30 mph"
52.0405812,1.1101913,"30 mph"
52.0404121,1.1103891,"30 mph"
52.0401711,1.1110114,"30 mph"
52.0399841,1.1111768,"30 mph"
52.0398798,1.1111984,"30 mph"
52.0398367,1.1110905,"30 mph"
52.0408617,1.1108064,"30 mph"
52.0412619,1.1105152,"30 mph"
52.0410805,1.110725,"30 mph"
52.0409516,1.10949,"30 mph"
52.0411782,1.1094648,"30 mph"
52.0412681,1.1117847,"30 mph"
52.0415785,1.1113224,"30 mph"
52.0410354,1.1087907,"30 mph"
52.040948,1.1089936,"30 mph"
52.0409516,1.10949,"30 mph"
52.0408689,1.1101625,"30 mph"
52.0408617,1.1108064,"30 mph"
52.0410272,1.111461,"30 mph"
52.0408977,1.1111624,"30 mph"
52.0412681,1.1117847,"30 mph"
52.0414196,1.1120866,"30 mph"
52.0416065,1.1125559,"30 mph"
52.0406999,1.1123781,"30 mph"
52.040457,1.1123212,"30 mph"
52.0409122,1.1127167,"30 mph"
52.0380619,1.1131714,"30 mph"
52.0369515,1.1139725,"30 mph"
52.0411019,1.1131313,"30 mph"
52.0408203,1.1125119,"30 mph"
52.0405942,1.1123227,"30 mph"
52.0403504,1.1123798,"30 mph"
52.0397547,1.1127005,"30 mph"
52.0391061,1.1128868,"30 mph"
52.0384746,1.1130395,"30 mph"
52.0377283,1.1133698,"30 mph"
52.040018,1.1126202,"30 mph"
52.0430683,1.1151951,"30 mph"
52.0433232,1.1151536,"30 mph"
52.0429004,1.1148819,"30 mph"
52.0430494,1.1143675,"30 mph"
52.0430415,1.1139557,"30 mph"
52.0414726,1.1144362,"30 mph"
52.0415766,1.1139003,"30 mph"
52.0418221,1.1135994,"30 mph"
52.043071,1.1114171,"30 mph"
52.038743,1.1149258,"30 mph"
52.0408257,1.1134303,"30 mph"
52.0388354,1.1146322,"30 mph"
52.0386717,1.1162525,"30 mph"
52.0416065,1.1125559,"30 mph"
52.0411019,1.1131313,"30 mph"
52.0389731,1.1143362,"30 mph"
52.0392486,1.1140983,"30 mph"
52.0404131,1.1137204,"30 mph"
52.0386828,1.1152916,"30 mph"
52.038736,1.1160392,"30 mph"
52.0418531,1.1123695,"30 mph"
52.0421223,1.1121549,"30 mph"
52.0425371,1.1118282,"30 mph"
52.0387121,1.1156805,"30 mph"
52.0387207,1.115824,"30 mph"
52.0384746,1.1130395,"30 mph"
52.0389731,1.1143362,"30 mph"
52.0387607,1.1139601,"30 mph"
52.0385424,1.1134563,"30 mph"
52.0383971,1.1152344,"30 mph"
52.038199,1.1150108,"30 mph"
52.0386828,1.1152916,"30 mph"
52.038281,1.115172,"30 mph"
52.0380466,1.1144818,"30 mph"
52.0404982,1.1141178,"30 mph"
52.0404131,1.1137204,"30 mph"
52.0406089,1.1148956,"30 mph"
52.0658743,1.2329628,"30 mph"
52.0653734,1.2330995,"30 mph"
52.0651527,1.2332394,"30 mph"
52.0646337,1.2339044,"30 mph"
52.0642666,1.2342464,"30 mph"
52.0637637,1.2343736,"30 mph"
52.0623021,1.233915,"30 mph"
52.0648648,1.2335674,"30 mph"
52.0644133,1.2341355,"30 mph"
52.0628169,1.2340633,"30 mph"
52.0640023,1.2343484,"30 mph"
52.0647494,1.2337398,"30 mph"
52.0617147,1.2336204,"30 mph"
52.0615792,1.2348138,"30 mph"
52.0615807,1.2350401,"30 mph"
52.0642666,1.2342464,"30 mph"
52.064314,1.2345112,"30 mph"
52.0650408,1.2348181,"30 mph"
52.0654106,1.234902,"30 mph"
52.0656841,1.2348398,"30 mph"
52.0659265,1.2346565,"30 mph"
52.0649888,1.2347939,"30 mph"
52.0643536,1.2345607,"30 mph"
52.0642897,1.2344005,"30 mph"
52.0654665,1.2348893,"30 mph"
52.0645846,1.2346329,"30 mph"
52.0650408,1.2348181,"30 mph"
52.0651403,1.2343364,"30 mph"
52.0652335,1.2341468,"30 mph"
52.0654075,1.2340132,"30 mph"
52.0654666,1.2336807,"30 mph"
52.0652939,1.2341004,"30 mph"
52.0651524,1.2422798,"30 mph"
52.0651755,1.2426178,"30 mph"
52.0652775,1.2429034,"30 mph"
52.0654476,1.2430871,"30 mph"
52.0655256,1.2433193,"30 mph"
52.0655448,1.2441047,"30 mph"
52.0655484,1.243517,"30 mph"
52.062873,1.2433047,"30 mph"
52.0626843,1.2379434,"30 mph"
52.0629928,1.2389634,"30 mph"
52.0631424,1.2394448,"30 mph"
52.0631834,1.2397934,"30 mph"
52.0632039,1.2403797,"30 mph"
52.0630509,1.2414611,"30 mph"
52.0629898,1.2419105,"30 mph"
52.0629126,1.242854,"30 mph"
52.0628222,1.2440815,"30 mph"
52.0627976,1.2447227,"30 mph"
52.0628387,1.2464981,"30 mph"
52.0629453,1.247083,"30 mph"
52.0630931,1.2476753,"30 mph"
52.0638673,1.249548,"30 mph"
52.0641273,1.2509937,"30 mph"
52.0636217,1.2489544,"30 mph"
52.0628149,1.2458211,"30 mph"
52.0628101,1.2454656,"30 mph"
52.0641103,1.2508626,"30 mph"
52.0628373,1.2463603,"30 mph"
52.0627976,1.2449544,"30 mph"
52.0628028,1.2451604,"30 mph"
52.0628362,1.2462552,"30 mph"
52.063137,1.2410192,"30 mph"
52.0650954,1.2507008,"30 mph"
52.0641273,1.2509937,"30 mph"
52.0654477,1.2506491,"30 mph"
52.0646956,1.2508218,"30 mph"
52.0658453,1.2505626,"30 mph"
52.0663014,1.2504448,"30 mph"
52.0660068,1.2369421,"30 mph"
52.0658671,1.2370565,"30 mph"
52.0647949,1.2372203,"30 mph"
52.0647786,1.2369321,"30 mph"
52.0647475,1.2375669,"30 mph"
52.0648138,1.2377527,"30 mph"
52.0649399,1.2378257,"30 mph"
52.0652916,1.2376665,"30 mph"
52.0654462,1.2376832,"30 mph"
52.0633581,1.2385987,"30 mph"
52.0632355,1.2381943,"30 mph"
52.0632478,1.2381024,"30 mph"
52.0637655,1.2377593,"30 mph"
52.0629928,1.2389634,"30 mph"
52.0633581,1.2385987,"30 mph"
52.0635449,1.2385957,"30 mph"
52.0636828,1.2388499,"30 mph"
52.0637349,1.2392788,"30 mph"
52.0634016,1.2398869,"30 mph"
52.0633508,1.2401105,"30 mph"
52.063674,1.2395398,"30 mph"
52.0632864,1.2428102,"30 mph"
52.0635344,1.2430424,"30 mph"
52.0635344,1.2431524,"30 mph"
52.0635152,1.2436218,"30 mph"
52.0629126,1.242854,"30 mph"
52.0632864,1.2428102,"30 mph"
52.0633231,1.2425681,"30 mph"
52.0633092,1.2420571,"30 mph"
52.0630804,1.2428897,"30 mph"
52.0631614,1.2428937,"30 mph"
52.0632338,1.2428588,"30 mph"
52.0633167,1.2427064,"30 mph"
52.063302,1.2424277,"30 mph"
52.0632957,1.2423322,"30 mph"
52.063289,1.2422165,"30 mph"
52.0633062,1.2421149,"30 mph"
52.0633046,1.241979,"30 mph"
52.0632896,1.2418502,"30 mph"
52.0634932,1.2475354,"30 mph"
52.0636353,1.2473564,"30 mph"
52.0636511,1.2471564,"30 mph"
52.0635142,1.2469352,"30 mph"
52.0631615,1.246772,"30 mph"
52.0630931,1.2476753,"30 mph"
52.0634932,1.2475354,"30 mph"
52.0637194,1.2480211,"30 mph"
52.0638446,1.2481776,"30 mph"
52.0640503,1.248267,"30 mph"
52.0649714,1.2476365,"30 mph"
52.0651161,1.2476118,"30 mph"
52.0652385,1.2476762,"30 mph"
52.0642367,1.2492905,"30 mph"
52.0638673,1.249548,"30 mph"
52.064637,1.2490803,"30 mph"
52.0649226,1.2492648,"30 mph"
52.0652049,1.2493664,"30 mph"
52.0653939,1.2492247,"30 mph"
52.0655735,1.2488939,"30 mph"
